Name,Mobile
"ওয়ালটন প্লাজা, বাঘের বাজার, গাজীপুর",01608988072
আইডিয়াল কম্পিউটার্স,01715500697
গাজীপুর ল্যাপটপ কর্নার,01710110688
এম/এস.রেজিয়া এন্টারপ্রাইজ,01715894825
অ্যাল-মদীনা কম্পিউটার&ল্যাপটপ,01911179837
অমু মার্কেট অনলাইন বাজার,01781632999
পারফেক্ট কম্পিউটার ল্যাব.৫ম তলা,01911736866
এন.এস.কম্পিউটার,01811929126
আল আরব ল্যাপটপ কর্ণার গাজীপুর,01741500287
বিসমিল্লাহ কম্পিউটার্স,01728270953
নিউ টেক কম্পিউটার্স,01715253299
স্টার টেক - গাজীপুর শাখা,01322811311
ডিজিটাল কম্পিউটার্স,01715363919
হোম ইলেকট্রনিক্স ও কম্পিউটার,01746407519
KASHBD,01718440178
মহসিন ইলেকট্রনিক্স,01725592240
বেঙ্গল কম্পিউটার,01818981971
সিকদের কম্পিউটার,01922630000
রামীন কম্পিউটার জনে,01623646362
ডটকম টেকনোলজি,01568410630
ওয়ালটন প্লাজা মাওনা,01686692033
কম্পিউটার ওয়ার্ল্ড,01713727345
সোর্স এজ এন্টারপ্রাইস,01727641010
নাসা কম্পিউটার,01715393728
Vision Emporium - Rajendrapur,01844200760
আনোয়ার স্টোর,01771201375
সামসাং অথোরাইজড ব্র্যান্ড শপ মাওনা,01724932415
আরজেপি সিস্টেমস্,01711234308
রয়্যাল ইলেকট্রনিক্স & কম্পিউটার্স,01751643578
আশা কম্পিউটার,01751643473
Hamzah IT Zone - হামজা আইটি জোন,01644422185
এম+প্লাস কম্পিউটার,01906666775
রেনেসা ইনফো টেক বিডি || বেষ্ট কম্পিউটার শপ,01740316430
মাদার আইটি,01917191996
ভিশন টেকনোলজি,01681299599
গাজি কম্পিউটার সলিউশন,01976167986
সিংয়ের প্লাস,01936660179
রায়ানস কম্পিউটার,01755513929
সিংয়ের প্লাস,01936660179
লিসাম কম্পিউটার,01612819222
নুমান কম্পিউটার & মোবাইল স্টোর,01883017344
Mridha Computer Center (মৃধা কম্পিউটার সেন্টার),01799337373
স্টার টেক ও ইন্জিনিয়ারিং লিমিটেড,01709995577
ফাহিম কম্পিউটার এন্ড আইটি সল্যুশন,01716993647
রায়ান্স কম্পিউটার্স - বনানী,09638009072
পিসি ওয়ার্ল্ড,01977556673
এক্সপার্ট কম্পিউটার,09638017907
ইট বিডি শপ,01710913417
নুসরাত কম্পিউটার ( কম্পিউটার সার্ভিস সেন্টের টঙ্গী),01816947675
Star Tech Ltd. Uttara Sonargaon Janapath Branch,01709995420
মক কম্পিউটার,01717641743
এশান এন্টারপ্রাইজ,01616253565
জান্নাত কম্পিউটার,01894801240
PC Carnival,01819234199
Star Tech Ltd. Uttara Sonargaon Janapath Branch,01709995420
PC Carnival,01819234199
মদীনা কম্পিউটার,01970527333
ল্যাপটপ.সোর্স,01724406156
তোয়া এন্টারপ্রাইজ,09639217019
কম্পিউটার মানিয়া বিডি | যমুনা ফিউচার পার্ক ব্রাঞ্চ,01762000004
ল্যাপি ভ্যালি,01712644209
টেক ভিলেজ,01873844525
আলো ল্যাপটপ স্টোর,01753414393
স্টার টেক,01322992004
গ্রিন টেকনোলজি,01315090371
মৌ টেলিকম,01926852707
HMS Laptech,01681295671
এশান এন্টারপ্রাইজ,01616253565
জান্নাত কম্পিউটার,01894801240
বাংলাদেশ ল্যাপটপ গ্যালারি,01687321007
ইউনিক ই ই আর ইঞ্জিনিয়ারিং,01738011060
নেওটেক ল্যাপটপ বিডি,01776044641
বাইট সিটি বিডি,01977409140
অ্যাপোলো গ্যাজেট,01982628412
সরকার ল্যাপটপ,01748943905
Area 51,01734618965
ল্যাপটপ রিপেয়ার সার্ভিস সেন্টার (আইটি ফিক্স বিডি),01784869154
ইউনিক কম্পিউটার জনে,01927972046
সেল এক্সপ্রেস,01755808489
Smart Buy Laptops,01785626326
ওয়ানপ্লাস অফিসিয়াল শোরুম /মাসুম টেলিকম,01728136385
ইউ টেক বিডী,01711385849
LAPTOP HUB,01941113938
মাল্টি পিসি বিডি,01714904587
ডিজি-টেক,01711710304
সামিয়া ইলেকট্রনিক্স,01689167237
সর্দার টেক | ইউজড ল্যাপটপ শপ ইন ঢাকা,01733449239
ইট ভ্যালি,01753331205
এমসি সলিউশন বিডি (যমুনা ফিউচার পার্ক),01970328858
এমআর টেকনোলজি,01616808025
এপ্ল্যানেট,01712619867
ল্যাপটপস & গ্যাজেটস,01872799177
কম্পিউটার সিটি টেকনোলজিস লিঃ,055153584
তাকওয়া ল্যাপটপ জনে,01708374850
প্রুভেন কম্পিউটার,01721210243
পিসি এইড,01716618001
ল্যাপটপ টেরিটোরি,01779811661
"Premiaflex Plastics Limited - প্রিমিয়াফ্লেক্স প্লাস্টিকস লিমিটেড, মাওনা, শ্রীপুর, গাজীপুর।",01714163046
এমসি সলিউশন বিডি ( বাসুন্ধরা সিটি ব্রাঞ্চ ),01770328858
হুয়াওয়েই,01923350000
